City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
120,Hovd,MN,2022-02-08 15:41:02,48.0056,91.6419,-10.1,76,17,3.69
121,Zemio,CF,2022-02-08 15:41:02,5.0314,25.1361,90.03,19,80,1.21
122,Takaungu,KE,2022-02-08 15:41:02,-3.6837,39.8566,84.69,77,0,11.9
123,Alibag,IN,2022-02-08 15:41:03,18.6411,72.8792,75.27,73,3,7.27
124,Cidreira,BR,2022-02-08 15:41:03,-30.1811,-50.2056,77.77,57,6,13.6
125,Yar-Sale,RU,2022-02-08 15:41:03,66.8333,70.8333,1.78,89,100,15.73
126,Lamu,KE,2022-02-08 15:41:04,-2.2717,40.902,84.42,82,2,17.74
127,Palafrugell,ES,2022-02-08 15:41:04,41.9174,3.1631,57.34,47,3,4.0
128,Samfya,ZM,2022-02-08 15:41:04,-11.3649,29.5565,72.63,82,73,3.15
129,Korla,CN,2022-02-08 15:38:33,41.7597,86.1469,26.92,45,29,3.58
130,Namibe,AO,2022-02-08 15:41:05,-15.1961,12.1522,77.4,66,84,12.66
131,Ejura,GH,2022-02-08 15:41:05,7.3856,-1.3562,99.01,11,6,5.75
132,Khatanga,RU,2022-02-08 15:41:06,71.9667,102.5,3.29,80,100,18.68
133,Kiunga,PG,2022-02-08 15:41:06,-6.1219,141.2906,73.8,99,100,4.12
134,La Cruz,MX,2022-02-08 15:41:06,23.9167,-106.9,69.12,25,0,4.25
135,Dingle,PH,2022-02-08 15:41:07,10.9995,122.6711,75.4,91,72,8.28
136,Matelandia,BR,2022-02-08 15:41:07,-25.2408,-53.9964,79.68,24,0,4.47
137,Kununurra,AU,2022-02-08 15:41:07,-15.7667,128.7333,80.58,94,47,3.44
138,Awjilah,LY,2022-02-08 15:41:08,29.1081,21.2869,63.77,49,44,17.58
139,Whitecourt,CA,2022-02-08 15:42:08,54.1502,-115.6855,34.84,55,75,10.36
140,Clyde River,CA,2022-02-08 15:42:08,70.4692,-68.5914,-27.17,68,75,4.61
141,Okuchi,JP,2022-02-08 15:42:09,32.0667,130.6167,31.87,98,33,3.06
142,Lensk,RU,2022-02-08 15:42:09,60.7253,114.9278,-8.52,98,100,3.22
143,Alofi,NU,2022-02-08 15:42:09,-19.0595,-169.9187,73.29,94,100,5.75
144,Rawson,AR,2022-02-08 15:42:10,-43.3002,-65.1023,80.62,34,99,11.92
145,Bambous Virieux,MU,2022-02-08 15:42:10,-20.3428,57.7575,80.85,74,40,4.61
146,Faanui,PF,2022-02-08 15:42:10,-16.4833,-151.75,81.55,76,100,18.01
147,Tank,PK,2022-02-08 15:42:10,32.2217,70.3793,60.15,43,53,1.28
148,Arraial Do Cabo,BR,2022-02-08 15:38:13,-22.9661,-42.0278,73.36,100,100,12.66
149,Cherskiy,RU,2022-02-08 15:42:11,68.75,161.3,-40.7,100,82,3.89
150,Hilo,US,2022-02-08 15:41:19,19.7297,-155.09,66.25,84,0,8.05
151,Voloshka,RU,2022-02-08 15:42:11,61.3314,40.0858,26.98,96,99,6.44
152,Basco,PH,2022-02-08 15:42:12,20.4487,121.9702,73.47,85,100,25.57
153,Komsomolskiy,UZ,2022-02-08 15:42:12,40.4272,71.7189,36.82,80,99,2.3
154,Mareeba,AU,2022-02-08 15:42:12,-17.0,145.4333,74.12,94,71,2.06
155,Suamico,US,2022-02-08 15:42:12,44.6319,-88.0393,29.17,66,0,9.22
156,Nam Dinh,VN,2022-02-08 15:42:13,20.4167,106.1667,62.11,93,100,7.29
157,Saint-Augustin,CA,2022-02-08 15:42:13,51.226,-58.6502,14.14,89,96,9.78
158,Baghdad,IQ,2022-02-08 15:38:14,33.3406,44.4009,64.31,34,0,0.0
159,Puerto Ayora,EC,2022-02-08 15:42:13,-0.7393,-90.3518,78.76,71,23,7.61
160,New Norfolk,AU,2022-02-08 15:42:14,-42.7826,147.0587,58.71,70,74,2.08
161,Port Lincoln,AU,2022-02-08 15:42:14,-34.7333,135.8667,62.69,90,1,8.25
162,Tongliao,CN,2022-02-08 15:42:14,43.6125,122.2653,11.91,87,5,8.37
163,Ixtapa,MX,2022-02-08 15:40:36,20.7,-105.2,63.63,88,0,3.44
164,Juneau,US,2022-02-08 15:40:45,58.3019,-134.4197,39.85,96,100,18.41
165,Golden,US,2022-02-08 15:39:53,39.7555,-105.2211,47.89,35,0,4.61
166,Mount Isa,AU,2022-02-08 15:42:15,-20.7333,139.5,78.57,78,92,0.0
167,Saint-Francois,FR,2022-02-08 15:42:15,46.4154,3.9054,51.42,54,0,2.3
168,Surgut,RU,2022-02-08 15:42:15,61.25,73.4167,-4.92,76,0,8.99
169,Victoria,HK,2022-02-08 15:37:20,22.2855,114.1577,62.26,83,100,4.0
170,Te Anau,NZ,2022-02-08 15:42:16,-45.4167,167.7167,54.07,91,75,1.59
171,Honningsvag,NO,2022-02-08 15:42:16,70.9821,25.9704,29.95,69,75,31.07
172,Ostrovnoy,RU,2022-02-08 15:40:27,68.0531,39.5131,15.89,89,100,15.99
173,Saint George,US,2022-02-08 15:41:01,37.1041,-113.5841,51.35,51,0,3.44
174,Palm Bay,US,2022-02-08 15:42:17,28.0345,-80.5887,64.44,85,0,14.0
175,Surin,TH,2022-02-08 15:42:17,14.8818,103.4936,84.9,61,8,5.32
176,San Julian,MX,2022-02-08 15:42:17,21.0167,-102.1667,49.48,61,3,3.29
177,Lorengau,PG,2022-02-08 15:42:05,-2.0226,147.2712,81.01,82,100,8.23
178,Yatou,CN,2022-02-08 15:42:18,37.15,122.3833,31.3,56,97,2.17
179,Loa Janan,ID,2022-02-08 15:42:18,-0.583,117.095,73.62,99,100,3.91
180,Deputatskiy,RU,2022-02-08 15:43:19,69.3,139.9,-36.83,99,67,4.68
181,Kamenka,RU,2022-02-08 15:43:19,51.3223,42.7678,32.76,98,100,14.83
182,Mao,ES,2022-02-08 15:43:19,39.8885,4.2658,55.96,76,40,10.36
183,Belo Jardim,BR,2022-02-08 15:39:54,-8.3356,-36.4242,91.53,28,6,7.49
184,Areosa,PT,2022-02-08 15:43:20,41.7178,-8.8571,69.24,51,0,4.47
185,Egvekinot,RU,2022-02-08 15:43:20,66.3167,-179.1667,-17.12,66,0,14.54
186,Ilulissat,GL,2022-02-08 15:41:37,69.2167,-51.1,-3.98,65,40,12.66
187,Contamana,PE,2022-02-08 15:43:20,-7.3333,-75.0167,83.34,70,81,1.79
188,Gari,RU,2022-02-08 15:43:21,59.4307,62.3497,6.89,98,99,5.03
189,Lagoa,PT,2022-02-08 15:43:21,39.05,-27.9833,59.29,71,100,9.01
190,Half Moon Bay,US,2022-02-08 15:43:21,37.4636,-122.4286,56.25,86,40,3.44
191,Fairbanks,US,2022-02-08 15:40:02,64.8378,-147.7164,-4.04,77,0,5.75
192,Broome,US,2022-02-08 15:42:36,42.2506,-75.833,30.85,78,100,5.75
193,Saldanha,ZA,2022-02-08 15:43:22,-33.0117,17.9442,77.05,85,55,14.94
194,Esperance,AU,2022-02-08 15:43:22,-33.8667,121.9,60.64,64,29,2.19
195,Puerto Colombia,CO,2022-02-08 15:43:22,10.9878,-74.9547,84.29,63,56,8.52
196,Mount Gambier,AU,2022-02-08 15:43:23,-37.8333,140.7667,67.91,68,100,9.22
197,Paidha,UG,2022-02-08 15:43:23,2.4167,30.9855,74.39,31,69,1.34
198,Sechura,PE,2022-02-08 15:43:23,-5.5569,-80.8222,78.12,59,100,3.33
199,Ishigaki,JP,2022-02-08 15:40:29,24.3448,124.1572,66.88,75,100,23.24
200,Zadar,HR,2022-02-08 15:43:24,44.1197,15.2422,50.61,43,0,14.97
201,Santa Cruz,BO,2022-02-08 15:39:44,-17.8,-63.1667,86.05,45,40,14.97
202,Baykit,RU,2022-02-08 15:43:24,61.67,96.37,-20.42,98,10,3.31
203,Murshidabad,IN,2022-02-08 15:43:24,24.1833,88.2667,64.08,49,0,5.12
204,Aden,YE,2022-02-08 15:41:25,12.7794,45.0367,77.54,72,61,15.86
205,Campo Verde,BR,2022-02-08 15:43:25,-20.4167,-54.0667,83.41,42,0,4.63
206,Necochea,AR,2022-02-08 15:42:14,-38.5473,-58.7368,78.04,43,0,4.14
207,Bernalillo,US,2022-02-08 15:43:25,35.05,-106.6673,42.55,52,20,4.61
208,Santa Isabel,BR,2022-02-08 15:41:50,-23.3156,-46.2214,79.66,82,97,4.92
209,Farafangana,MG,2022-02-08 15:43:26,-22.8167,47.8333,78.49,92,99,14.79
210,Maceio,BR,2022-02-08 15:43:26,-9.6658,-35.7353,89.04,48,40,12.66
211,Nola,IT,2022-02-08 15:43:26,40.922,14.5329,57.9,32,1,14.0
212,Aksarka,RU,2022-02-08 15:43:26,66.5606,67.7975,-5.33,100,100,9.31
213,Mehamn,NO,2022-02-08 15:43:27,71.0357,27.8492,30.38,88,77,18.07
214,Manaure,CO,2022-02-08 15:43:27,11.7751,-72.4445,84.31,59,37,12.62
215,Klaksvik,FO,2022-02-08 15:43:27,62.2266,-6.589,34.72,68,98,39.84
216,Ulaangom,MN,2022-02-08 15:43:28,49.9811,92.0667,-24.81,93,94,2.77
217,Port Blair,IN,2022-02-08 15:43:28,11.6667,92.75,80.64,74,40,8.05
218,Xicotencatl,MX,2022-02-08 15:43:28,23.0167,-98.8833,56.03,73,99,2.48
219,Tongren,CN,2022-02-08 15:43:29,27.7172,109.1853,33.64,98,100,2.8
220,Zhigansk,RU,2022-02-08 15:43:29,66.7697,123.3711,-34.28,100,94,6.98
221,Hami,CN,2022-02-08 15:43:29,42.8,93.45,25.9,39,33,3.58
222,Hudson Bay,CA,2022-02-08 15:43:30,52.85,-102.3842,25.72,85,99,16.04
223,Alekseyevsk,RU,2022-02-08 15:43:30,57.8406,108.3492,-4.61,97,100,4.43
224,Dikson,RU,2022-02-08 15:43:30,73.5069,80.5464,4.15,93,100,21.81
225,Sao Filipe,CV,2022-02-08 15:42:06,14.8961,-24.4956,73.71,70,0,8.19
226,Kormilovka,RU,2022-02-08 15:44:31,55.0026,74.1028,10.15,98,93,5.3
227,Narsaq,GL,2022-02-08 15:40:24,60.9167,-46.05,-0.18,59,9,8.72
228,Husavik,IS,2022-02-08 15:44:31,66.0449,-17.3389,28.31,95,100,25.5
