City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
96,Redlands,US,75.47,clear sky,34.0556,-117.1825,Dynasty Suites Redlands
104,Sijunjung,ID,70.05,overcast clouds,-0.6876,100.9537,Hotel Bukik Gadang
107,Kwinana,AU,72.93,light rain,-32.25,115.7667,Rockingham Apartments
108,Moron,AR,88.95,clear sky,-34.6534,-58.6198,Hotel Morón
109,Gizo,SB,80.74,moderate rain,-8.103,156.8419,Imagination Island
114,Mattru,SL,89.51,clear sky,7.6244,-11.8332,"Mondkor Town, Bagbo Chiefdom, Bo District"
115,Kahului,US,71.83,clear sky,20.8947,-156.47,Maui Seaside Hotel
117,Vaini,TO,80.53,light rain,-21.2,-175.2,Keleti Beach Resort
120,East London,ZA,74.34,few clouds,-33.0153,27.9116,Tu Casa
123,Souillac,MU,79.18,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
125,Mabaruma,GY,84.02,broken clouds,8.2,-59.7833,Monty Brooms Guest House
132,Meulaboh,ID,75.43,overcast clouds,4.1363,96.1285,Kost Pria
133,Chuy,UY,79.56,clear sky,-33.6971,-53.4616,Nuevo Hotel Plaza
134,Conceicao Do Araguaia,BR,83.5,overcast clouds,-8.2578,-49.2647,Tarumã Tropical Hotel
136,Tiarei,PF,80.62,scattered clouds,-17.5333,-149.3333,Le Rocher de Tahiti
137,Tucupita,VE,84.02,broken clouds,9.0622,-62.051,Hotel Tucupita Su​ite C.A.
143,Bubaque,GW,79.66,clear sky,11.2833,-15.8333,"Casa Dora, Bubaque"
144,Lucea,JM,82.26,clear sky,18.451,-78.1736,Grand Palladium Jamaica Resort & Spa
145,Gambela,ET,86.16,broken clouds,8.25,34.5833,Solomon Debebe Hotel
146,Lazaro Cardenas,MX,81.59,broken clouds,17.9583,-102.2,Baymont by Wyndham Lazaro Cardenas
147,Ratnagiri,IN,73.51,few clouds,16.9833,73.3,Hotel Landmark
152,Quatre Cocos,MU,78.91,few clouds,-20.2078,57.7625,Sunrise Attitude Hotel
154,Sinnamary,GF,81.36,scattered clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
156,Carolina,PR,85.1,few clouds,18.3808,-65.9574,Motel Fantasy Star
157,Cape Town,ZA,73.35,clear sky,-33.9258,18.4232,Southern Sun Waterfront Cape Town
158,Karratha,AU,84.25,clear sky,-20.7377,116.8463,ibis Styles Karratha
161,Cam Ranh,VN,76.96,scattered clouds,11.9214,109.1591,OYO 598 Peony Hotel
167,Sao Felix Do Xingu,BR,83.43,overcast clouds,-6.6447,-51.995,Rio Xingu Camping
168,Tecoanapa,MX,82.4,overcast clouds,16.5167,-98.75,Hotel Manglares
170,Sulangan,PH,79.59,overcast clouds,11.1373,123.7228,Maia's Beach Resort
172,Arraial Do Cabo,BR,71.56,mist,-22.9661,-42.0278,Pousada Porto Praia
174,Port Elizabeth,ZA,70.09,broken clouds,-33.918,25.5701,39 On Nile Guest House
179,Bambous Virieux,MU,79.05,light rain,-20.3428,57.7575,Casa Tia Villa
180,Alofi,NU,75.09,broken clouds,-19.0595,-169.9187,Taloa Heights
184,Marigot,MF,83.98,scattered clouds,18.0667,-63.0833,"Sonesta Maho Beach Resort, Casino & Spa"
188,Lufilufi,WS,74.98,overcast clouds,-13.8745,-171.5986,Leuaina Beach Resort and Spa
189,Kieta,PG,78.85,overcast clouds,-6.2167,155.6333,Uruna Bay Retreat
190,Faanui,PF,81.01,overcast clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
198,Sao Miguel Do Araguaia,BR,76.69,overcast clouds,-13.275,-50.1628,Hotel Executivo Palace
199,Carnarvon,AU,80.67,broken clouds,-24.8667,113.6333,Hospitality Carnarvon
200,Arlit,NE,75.15,clear sky,18.7369,7.3853,Case de Passage De la Prefecture
202,Puerto Leguizamo,CO,89.35,overcast clouds,-0.1934,-74.7819,la casona de juancho
204,Bengkulu,ID,75.72,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
207,Port Blair,IN,79.38,few clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
208,Soyapango,SV,84.47,clear sky,13.7347,-89.1514,CASA MISIONERA MCA
210,Saldanha,ZA,71.65,clear sky,-33.0117,17.9442,Blue Bay Lodge
211,Kavieng,PG,80.76,light rain,-2.5744,150.7967,Nusa Island Retreat
213,Ahipara,NZ,72.75,overcast clouds,-35.1667,173.1667,Ahipara Holiday Park
217,Atambua,ID,71.55,light rain,-9.1061,124.8925,Pastori 1 Jemaat Polycarpus
218,Kawalu,ID,73.36,overcast clouds,-7.3817,108.2082,KOSAN UNGU UNSIK
223,Vicuna,CL,78.76,broken clouds,-30.0319,-70.7081,Los Mosaicos
225,Ailigandi,PA,80.6,broken clouds,9.2333,-78.0167,Akwa Reef Lodge
231,Atar,MR,84.13,broken clouds,20.5169,-13.0499,Oumou Elghoura
234,Basco,PH,74.34,broken clouds,20.4487,121.9702,Nathaniel's Lodge
236,La Palma,US,81.41,clear sky,33.8464,-118.0467,La Quinta Inn & Suites by Wyndham Buena Park
238,Alyangula,AU,76.87,broken clouds,-13.8483,136.4192,Groote Eylandt Lodge
241,Bilma,NE,71.51,clear sky,18.6853,12.9164,Expeditions Ténére voyages
243,Kuala Terengganu,MY,75.15,moderate rain,5.3302,103.1408,Hotel Grand Continental Kuala Terengganu (4 Star)
251,Rancho Palos Verdes,US,82.18,clear sky,33.7445,-118.387,Terranea Resort
253,Porto Novo,BJ,85.82,clear sky,6.4965,2.6036,Tour Eiffel Hotel Benin
255,Pizarro,CO,79.5,moderate rain,4.9533,-77.366,Hotel Limonar
256,Paez,CO,74.86,overcast clouds,5.1011,-73.0512,Hotel Nueva Dinastia
257,Kilindoni,TZ,81.54,broken clouds,-7.9139,39.6668,Bustani B&B
258,Manokwari,ID,77.5,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
259,Porto Belo,BR,85.62,few clouds,-27.1578,-48.5531,Costa Verde Beach Hotel
268,Blackwater,AU,70.2,clear sky,-23.5833,148.8833,Blackwater Motor Inn
271,Noumea,NC,80.01,moderate rain,-22.2763,166.4572,Hôtel Le Lagon
274,Half Moon Bay,US,70.92,few clouds,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
277,Sao Joao Da Barra,BR,77.09,overcast clouds,-21.6403,-41.0511,Pousada Porto De Canoas
279,Hobyo,SO,76.39,overcast clouds,5.3505,48.5268,Halane Hotel and Restaurent
280,Saint-Pierre,RE,78.48,broken clouds,-21.3393,55.4781,Lindsey Hôtel
281,Mar Del Plata,AR,82.42,clear sky,-38.0023,-57.5575,Gran Hotel Mar del Plata
282,Cairns,AU,76.06,clear sky,-16.9167,145.7667,Mantra Trilogy Cairns
283,San Pedro,PH,78.35,broken clouds,14.35,121.0167,Villa Veronica Resort Private Pool
285,Tagusao,PH,77.88,overcast clouds,9.1924,117.8141,Green Villa beach resort
287,Namatanai,PG,79.09,light rain,-3.6667,152.4333,Seagulls Inn Namatani
289,Taveta,KE,81.99,broken clouds,-3.3963,37.6736,Challa Hotel
293,Murud,IN,71.91,clear sky,18.3258,72.965,On Point Plaza
294,Sapele,NG,86.97,scattered clouds,5.8941,5.6767,Movig Hotel & Suites
295,Santa Maria,BR,88.9,few clouds,-29.6842,-53.8069,Hotel Morotin
300,Padang,ID,77.58,heavy intensity rain,-0.9492,100.3543,Mercure Padang
303,Kinshasa,CD,84.52,few clouds,-4.3246,15.3215,Flat Hotel Alhdeef
306,Makakilo City,US,71.92,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
308,Pare,ID,72.68,overcast clouds,-7.7679,112.198,Hotel Kediri 1
313,Nisia Floresta,BR,88.61,broken clouds,-6.0911,-35.2086,Rancho Crepusculo
315,San Jose,US,71.42,clear sky,37.3394,-121.895,The Westin San Jose
320,Axim,GH,81.01,clear sky,4.8699,-2.2405,Axim Beach Resort And Spa
326,Allanridge,ZA,75.6,broken clouds,-27.7543,26.6438,The Hatchery
330,Pisco,PE,78.03,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
331,Saint-Philippe,RE,78.39,scattered clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
335,Brazzaville,CG,84.51,few clouds,-4.2658,15.2832,Hotel Muesse
336,Bucerias,MX,71.58,clear sky,20.75,-105.3333,Royal Decameron Complex - Puerto Vallarta
337,Tarauaca,BR,81.25,overcast clouds,-8.1614,-70.7656,Flat Temporada
338,Mahebourg,MU,79.09,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
339,Rockport,US,70.23,clear sky,28.0206,-97.0544,"Holiday Inn Express & Suites Rockport - Bay View, an IHG Hotel"
343,Praya,CV,82.94,clear sky,14.9215,-23.5087,LT Aparthotel
344,Cabungan,PH,78.87,clear sky,16.3365,119.9991,Sarmiento Beach House
349,Cabo San Lucas,MX,76.51,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
351,San Quintin,MX,71.17,clear sky,30.4833,-115.95,Don Eddie's Landing
352,Saint-Joseph,RE,77.38,scattered clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
360,Iquique,CL,75.24,clear sky,-20.2208,-70.1431,Backpacker`s Hostel Iquique
361,Kloulklubed,PW,77.5,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
363,Sanguem,IN,78.28,scattered clouds,15.2333,74.1667,Hotel
371,San Cristobal,VE,75.38,broken clouds,7.7669,-72.225,Posada Villaven C.A.
374,Gigmoto,PH,76.91,overcast clouds,13.7796,124.39,Cj's Travellers Inn
375,Acapulco,MX,84.02,broken clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
376,Kokopo,PG,77.92,light rain,-4.352,152.2633,Kokopo Beach Bungalow Resort
379,Bima,ID,75.56,overcast clouds,-8.4667,118.7167,Lambitu Hotel
381,Kaeo,NZ,74.32,overcast clouds,-35.1,173.7833,Bushido Lodge
387,Nouadhibou,MR,84.18,broken clouds,20.931,-17.0347,El Medina
389,Mogadishu,SO,77.29,clear sky,2.0371,45.3438,Hotel Juba
392,Sao Filipe,CV,79.21,overcast clouds,14.8961,-24.4956,Hotel Xaguate
402,Santiago,CL,83.28,haze,-33.4569,-70.6483,Che Lagarto Hostel Santiago
403,Vao,NC,81.41,moderate rain,-22.6667,167.4833,Hotel Kou-Bugny
404,Martapura,ID,77.09,overcast clouds,-3.4167,114.85,Montana Hotel Syariah
406,Cockburn Town,TC,77.49,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
408,Cidreira,BR,76.8,clear sky,-30.1811,-50.2056,Hotel Castelo
409,Bodden Town,KY,82.99,scattered clouds,19.2833,-81.25,Will T Place
414,Ghanzi,BW,77.31,broken clouds,-21.5667,21.7833,Ghanzi Farmhouse
415,Veraval,IN,71.65,clear sky,20.9,70.3667,Lords Inn Somnath
416,Honiara,SB,77.32,moderate rain,-9.4333,159.95,Heritage Park Hotel
418,Caravelas,BR,84.96,few clouds,-17.7125,-39.2481,Pousada dos Navegantes
419,Montecristo,CO,88.57,broken clouds,8.2971,-74.4733,Casa Hotel Doña Mery
423,Touros,BR,88.7,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
426,Dangriga,BZ,78.76,scattered clouds,16.9692,-88.2321,Chaleanor Hotel
