City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
331,Saint-Philippe,RE,-21.3585,55.7679,78.39,80,27,6.91,scattered clouds
332,Hofn,IS,64.2539,-15.2082,26.42,57,20,6.87,few clouds
333,Khrebtovaya,RU,56.7032,104.2494,-27.04,100,73,3.29,broken clouds
334,Abrau-Dyurso,RU,44.69,37.59,42.26,70,44,9.22,scattered clouds
335,Brazzaville,CG,-4.2658,15.2832,84.51,74,20,5.75,few clouds
336,Bucerias,MX,20.75,-105.3333,71.58,60,0,0.0,clear sky
337,Tarauaca,BR,-8.1614,-70.7656,81.25,71,100,3.56,overcast clouds
338,Mahebourg,MU,-20.4081,57.7,79.09,83,75,3.44,broken clouds
339,Rockport,US,28.0206,-97.0544,70.23,66,0,6.91,clear sky
340,Iqaluit,CA,63.7506,-68.5145,-11.47,77,100,3.44,light snow
341,Nizhniy Odes,RU,63.6445,54.856,23.47,93,100,12.91,light snow
342,Ahtopol,BG,42.1,27.95,46.22,76,1,6.91,clear sky
343,Praya,CV,14.9215,-23.5087,82.94,39,0,18.41,clear sky
344,Cabungan,PH,16.3365,119.9991,78.87,72,8,15.41,clear sky
345,Ulladulla,AU,-35.35,150.4667,67.77,91,100,11.16,overcast clouds
346,Edd,ER,13.9297,41.6925,81.55,59,14,19.62,few clouds
